n,ID,BinaryLogitProbability,SUM_p(y=1),Matriculated,lift
1,1531258,0.929551221,0.929551221,1,1.119600064
2,1693582,0.911229165,1.840780385,1,1.097532022
3,1662443,0.910346522,2.751126907,1,1.096468922
4,1677825,0.906927838,3.658054746,1,1.09235128
5,1661306,0.906846969,4.564901714,1,1.092253877
6,1695510,0.902273524,5.467175238,1,1.08674538
7,1437720,0.90139208,6.368567318,1,1.085683724
8,1693201,0.896342419,7.264909736,0,1.079601648
9,1696415,0.894872264,8.159782001,1,1.077830917
10,1544459,0.894549394,9.054331395,1,1.077442035
11,1640935,0.893931912,9.948263307,1,1.076698308
12,1685783,0.892896181,10.84115949,1,1.075450819
13,1571994,0.891562124,11.73272161,1,1.073844011
14,1695918,0.890410206,12.62313182,0,1.072456581
15,1431738,0.888283115,13.51141493,0,1.069894601
16,1472720,0.888088601,14.39950353,1,1.069660319
17,1562217,0.887291248,15.28679478,1,1.068699944
18,1390220,0.886392222,16.173187,1,1.067617112
19,1604220,0.885948923,17.05913593,0,1.067083178
20,1441831,0.885693183,17.94482911,1,1.066775152
21,1656722,0.885232857,18.83006197,1,1.066220712
22,1356649,0.885030508,19.71509248,1,1.065976991
23,1669992,0.883899911,20.59899239,0,1.064615241
24,1691275,0.883770889,21.48276328,0,1.06445984
25,1523842,0.882780491,22.36554377,1,1.063266953
26,1643781,0.882749947,23.24829371,0,1.063230165
27,1536107,0.882065775,24.13035949,1,1.062406112
28,1695735,0.881812805,25.01217229,0,1.062101422
29,1538775,0.881782326,25.89395462,0,1.062064711
30,1680629,0.881556614,26.77551123,1,1.061792851
31,1546531,0.880835882,27.65634711,1,1.060924765
32,1668452,0.88081495,28.53716206,1,1.060899553
33,1695814,0.879963261,29.41712533,1,1.059873735
34,1696106,0.87973119,30.29685652,1,1.059594215
35,1562949,0.879366042,31.17622256,1,1.059154412
36,1545731,0.879040637,32.05526319,1,1.058762478
37,1695047,0.878907597,32.93417079,1,1.058602237
38,1499239,0.878907597,33.81307839,0,1.058602237
39,1668330,0.878907597,34.69198598,1,1.058602237
40,1694190,0.878182083,35.57016807,1,1.057728391
41,1639031,0.877345807,36.44751387,1,1.056721137
42,1662985,0.87660573,37.3241196,1,1.055829748
43,1598099,0.876114105,38.20023371,0,1.05523761
44,1667793,0.875538867,39.07577258,1,1.054544763
45,1691881,0.874825643,39.95059822,0,1.053685719
46,1693165,0.874825643,40.82542386,1,1.053685719
47,1382927,0.874825643,41.70024951,1,1.053685719
48,1509645,0.874484081,42.57473359,1,1.053274323
49,1668289,0.874146969,43.44888055,1,1.052868288
50,1673990,0.87366917,44.32254972,0,1.052292802
51,1676930,0.873632865,45.19618259,1,1.052249075
52,1260049,0.873465147,46.06964774,0,1.052047066
53,1486532,0.872736021,46.94238376,0,1.051168868
54,1600956,0.872572717,47.81495647,1,1.050972177
55,1675171,0.872326301,48.68728278,1,1.050675381
56,1531227,0.871599506,49.55888228,1,1.049799991
57,1663730,0.871564334,50.43044662,1,1.049757628
58,1685389,0.871521269,51.30196788,1,1.049705758
59,1560516,0.87146155,52.17342943,1,1.049633829
60,1686924,0.870728411,53.04415785,0,1.048750798
61,1696010,0.870728411,53.91488626,1,1.048750798
62,1660802,0.870728411,54.78561467,1,1.048750798
63,1601007,0.870239975,55.65585464,1,1.0481625
64,1660005,0.869958329,56.52581297,1,1.047823271
65,1691194,0.869544242,57.39535721,0,1.047324524
66,1566559,0.869251346,58.26460856,1,1.046971745
67,1694967,0.868763882,59.13337244,1,1.046384618
