PersonId,Matriculated,RegionPrefLevel,RequestedRegionalReassignment,Ethnicity,Senior2007,CumulativeGPA,SpecialEducationPrefLevel,BilingualPreferred,Gender,ReceivedPellGrants,PrimarySubject,GradeLevel,IsMathMajorMinor,IsScienceMajorMinor,IsEngineeringMajorMinor,IsMathSciorEngMajorMinor,Contacted
1583124,0,2,0,1,1,3.9,1,1,0,0,1,2,0,0,0,0,1
1593734,1,1,0,2,1,3,1,0,0,0,2,2,0,1,0,1,0
1591628,0,1,0,2,1,3.9,1,0,1,0,1,1,0,0,0,0,1
1578563,1,1,0,3,0,2.9,1,0,1,0,3,2,0,0,0,0,0
1347694,0,1,0,1,1,4,1,0,1,0,1,1,0,0,0,0,0
1547629,1,1,0,1,1,3.5,1,0,0,0,1,1,0,0,0,0,1
1582267,1,1,0,1,0,3.2,1,1,1,1,1,1,0,0,0,0,0
1580322,1,1,0,1,1,3.7,1,0,0,0,4,2,0,1,0,1,0
1563800,1,1,0,1,1,3.4,1,0,0,0,5,2,0,0,0,0,1
1591501,1,1,0,1,1,3.9,1,0,1,0,6,3,0,1,0,1,0
1583829,1,1,0,1,1,3.9,3,1,0,0,7,1,0,1,0,1,1
1229138,1,1,0,1,1,3.8,1,0,0,0,8,3,0,0,0,0,0
1582780,1,1,0,4,0,3.5,1,1,0,2,1,1,0,0,0,0,1
1225643,1,1,0,1,1,3.7,3,1,1,0,9,2,0,0,0,0,0
1606807,1,1,0,1,1,3.5,3,0,0,0,10,1,0,0,0,0,0
1577906,1,1,0,1,1,3.5,1,0,0,0,11,3,0,1,0,1,0
1596533,1,1,0,1,0,3.8,1,0,0,0,12,2,0,0,0,0,0
1581691,1,1,0,1,1,3.6,3,0,0,0,10,1,0,0,0,0,0
1593754,1,1,0,5,1,3.1,3,0,1,0,1,1,0,0,0,0,0
1603195,1,1,0,3,1,3.4,1,0,0,0,3,2,0,0,0,0,0
1580466,1,1,0,1,1,3.6,3,1,0,0,1,1,0,0,0,0,0
1611232,1,1,0,2,1,3.8,1,0,1,1,11,2,0,1,0,1,1
1568485,0,1,0,2,1,3.9,1,0,1,2,1,1,0,0,0,0,0
1568819,0,1,0,1,1,3.7,1,0,0,0,5,2,0,0,0,0,0
1586134,0,1,0,1,0,3.9,1,0,1,1,12,2,0,0,0,0,0
1584652,0,3,0,1,0,3.3,1,0,0,1,1,1,0,0,0,0,0
1503550,0,1,0,6,1,3.8,1,0,0,0,8,3,1,0,0,1,0
1598711,0,1,0,1,1,3.9,3,0,0,0,8,3,0,0,0,0,1
1598713,0,2,0,1,1,3.9,1,0,0,0,1,1,0,0,0,0,0
1605814,0,1,0,5,1,3.8,1,1,1,1,1,1,0,0,0,0,0
1567652,0,1,0,1,1,3.5,1,0,1,1,3,2,0,0,0,0,1
1598303,0,1,0,1,1,3.8,1,0,1,1,1,1,0,0,0,0,0
1579719,0,1,0,1,1,3.6,1,0,1,0,5,2,1,0,0,1,1
1241055,0,1,0,1,1,3.6,1,0,0,0,1,1,0,0,0,0,0
1528104,1,1,0,1,1,3.9,2,0,0,0,10,1,0,0,0,0,0
1580144,1,1,0,1,0,3.8,3,0,0,0,8,3,1,0,0,1,0
1579497,1,1,0,1,1,3.9,1,1,1,0,5,2,0,0,0,0,0
1397275,1,1,0,1,1,4,1,1,1,0,9,3,1,1,0,1,0
1448145,1,1,0,1,1,3.1,3,0,1,0,10,1,0,0,0,0,1
1574319,1,1,0,4,1,3.1,3,0,0,0,10,1,0,0,0,0,1
1580136,1,1,0,1,1,4,1,1,0,0,1,1,0,0,0,0,1
1585885,1,1,0,1,1,3.8,1,0,0,0,1,1,0,0,0,0,1
1587759,1,1,0,3,1,3.1,1,0,0,0,11,3,0,0,0,0,1
1579583,1,1,0,1,1,3.9,1,0,1,0,1,1,0,0,0,0,1
1594604,1,1,1,3,1,3.4,1,0,0,0,2,2,0,1,0,1,1
1576847,1,1,0,1,1,3.9,3,0,0,0,12,2,0,0,0,0,0
1571665,1,1,0,1,1,4,1,0,0,0,13,3,0,0,0,0,1
